from,to,const,,,,,,,,,,,,
% Hybrid vehicles (GWh / thousand cars),,,,,,,,,,,,,,
ttOKKS,DD10,0.00001665,,,,,,,,,,,,
ttOHKY,DD01,0.00001665,,,,,,,,,,,,
ttTNKY,DD09,0.000008325,,,,,,,,,,,,
ttTNKY,DD01,0.000008325,,,,,,,,,,,,
ttWVKY,DD01,0.00001665,,,,,,,,,,,,
ttMSLA,DD10,0.000008325,,,,,,,,,,,,
ttMSLA,DD09,0.000008325,,,,,,,,,,,,
ttTXLA,DD10,0.000008325,,,,,,,,,,,,
ttTXLA,DD02,0.000008325,,,,,,,,,,,,
ttNHMA,DD07,0.00001665,,,,,,,,,,,,
ttNYMA,DD07,0.000008325,,,,,,,,,,,,
ttNYMA,DD06,0.000008325,,,,,,,,,,,,
ttVTMA,DD07,0.00001665,,,,,,,,,,,,
ttPAMD,DD03,0.000008325,,,,,,,,,,,,
ttPAMD,DD01,0.000008325,,,,,,,,,,,,
ttVAMD,DD09,0.000008325,,,,,,,,,,,,
ttVAMD,DD01,0.000008325,,,,,,,,,,,,
ttWVMD,DD01,0.000008325,,,,,,,,,,,,
ttNHME,DD07,0.00001665,,,,,,,,,,,,
ttOHMI,DD01,0.00001665,,,,,,,,,,,,
ttWIMI,DD04,0.000008325,,,,,,,,,,,,
ttWIMI,DD01,0.000008325,,,,,,,,,,,,
ttNDMN,DD05,0.00001665,,,,,,,,,,,,
ttSDMN,DD05,0.00001665,,,,,,,,,,,,
ttWIMN,DD05,0.000008325,,,,,,,,,,,,
ttWIMN,DD04,0.000008325,,,,,,,,,,,,
ttOKMO,DD10,0.00001665,,,,,,,,,,,,
ttTNMO,DD10,0.000008325,,,,,,,,,,,,
ttTNMO,DD09,0.000008325,,,,,,,,,,,,
ttTNMS,DD09,0.00001665,,,,,,,,,,,,
ttNDMT,DD11,0.000008325,,,,,,,,,,,,
ttNDMT,DD05,0.000008325,,,,,,,,,,,,
ttWYMT,DD12,0.000008325,,,,,,,,,,,,
ttWYMT,DD11,0.000008325,,,,,,,,,,,,
ttSCNC,DD09,0.00001665,,,,,,,,,,,,
ttTNNC,DD09,0.00001665,,,,,,,,,,,,
ttVANC,DD09,0.00001665,,,,,,,,,,,,
