from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
ccFLMA,,472.6575,472.6575,434.845,400.0575,368.0525,338.6075,311.52,286.5975,263.67,242.57675,2113.56,6135.15,10061.125,13905.925,17683.05,35290,36348.75,37439,38562.25,39719.25,40910.75,42138,43402.25,44704.25,46045.5,47426.75,48849.5,50315,51824.5,53379.25,54980.5,56630,58329,60078.75,61881.25,63737.5,65649.75,67619.25,69647.75,71737.25,73889.25
ccMAFL,,472.6575,472.6575,434.845,400.0575,368.0525,338.6075,311.52,286.5975,263.67,242.57675,2113.56,6135.15,10061.125,13905.925,17683.05,35290,36348.75,37439,38562.25,39719.25,40910.75,42138,43402.25,44704.25,46045.5,47426.75,48849.5,51059.5,59946,58871.5,57766.5,56630,58329,69596.25,80760.25,91853.25,101015.25,108016.25,115129.25,122365.5,128992
ccFLMD,,179.766,179.766,165.38475,152.154,139.98175,128.783,118.4805,109.002,100.28175,92.25925,84.8785,78.08825,71.84125,66.094,60.8065,55.942,51.4665,47.34925,43.56125,40.0765,36.87025,33.92075,31.207,28.7105,26.4135,1912.8475,1970.2325,2029.34,2220.42,2218.905,2217.5125,2284.0375,2352.56,2423.1375,2495.83,2570.7,2647.825,2727.25,2809.075,2893.35,2980.15
ccMDFL,,179.766,179.766,165.38475,152.154,139.98175,128.783,118.4805,109.002,100.28175,92.25925,84.8785,78.08825,71.84125,66.094,60.8065,55.942,51.4665,47.34925,43.56125,40.0765,36.87025,33.92075,31.207,28.7105,26.4135,1912.8475,1970.2325,2029.34,2090.22,2152.925,2217.5125,2284.0375,2352.56,2423.1375,2495.83,2570.7,2647.825,2727.25,2809.075,2893.35,2980.15
ccFLMI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccMIFL,,751.3325,751.3325,691.2275,635.9275,585.055,538.25,495.19,455.575,419.13,385.5975,354.75,326.37,300.26,276.24,254.14,233.8095,215.10475,197.8965,182.06475,167.4995,154.0995,141.7715,130.43,119.9955,110.39575,101.56425,93.439,85.964,79.08675,72.75975,66.939,61.584,56.65725,52.12475,47.95475,44.11825,40.58875,37.34175,34.3545,31.606,20111.15
ccFLMN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccMNFL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccFLNC,,1905.7775,1905.7775,1753.315,1613.05,1484.005,1365.285,1256.0625,1155.5775,1063.13,978.08,899.835,827.8475,761.62,700.69,644.635,593.065,545.62,501.97,461.8125,424.8675,390.8775,359.6075,330.84,304.3725,280.0225,257.62,237.0105,218.04975,107093.25,107077.25,107062.5,107049,107036.5,144567,194561,244414.5,294255,344202.5,394370,444867.5,495800
ccNCFL,,1905.7775,1905.7775,1753.315,1613.05,1484.005,1365.285,1256.0625,1155.5775,1063.13,978.08,899.835,827.8475,761.62,700.69,644.635,593.065,545.62,501.97,461.8125,424.8675,390.8775,359.6075,330.84,304.3725,280.0225,257.62,237.0105,218.04975,107093.25,107077.25,107062.5,107049,107036.5,144567,194561,244414.5,294255,344202.5,394370,444867.5,495800
ccFLNV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccNVFL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
