code,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
CP,X % Coal production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP,X % Natural gas production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas demand (MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIA,,-42446.75,,,,,,,,,,,42446.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSKS,,-74464.5,,,,,,,,,,,74464.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSKY,,-66888.625,,,,,,,,,,,66888.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSLA,,-230746.5,,,,,,,,,,,230746.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMD,,-13767.375,,,,,,,,,,,13767.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMI,,-447529.5,,,,,,,,,,,447529.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMN,,-1790.625,,,,,,,,,,,1790.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMS,,-58801.125,,,,,,,,,,,58801.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMO,,-8802.5,,,,,,,,,,,8802.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMT,,-36211.25,,,,,,,,,,,36211.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNE,,-9474.5,,,,,,,,,,,9474.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNM,,-17192.625,,,,,,,,,,,17192.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNY,,-74186.75,,,,,,,,,,,74186.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOH,,-125166,,,,,,,,,,,125166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOK,,-114888.875,,,,,,,,,,,114888.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOR,,-12527.375,,,,,,,,,,,12527.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSPA,,-284739.75,,,,,,,,,,,284739.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSTN,,-44,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSTX,,-328739.875,,,,,,,,,,,328739.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSUT,,-32158.375,,,,,,,,,,,32158.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSVA,,-4157.5,,,,,,,,,,,4157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWA,,-15591.875,,,,,,,,,,,15591.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWV,,-145106.75,,,,,,,,,,,145106.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWY,,-28696.75,,,,,,,,,,,28696.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EH,X % Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW,X % Inland Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV,X % Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,X % Geo Thermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU,X % Solar Thermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,X % OTEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EY,X % Offshore Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,X % Tidal Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,X % IPCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% VEHICLES (thousand vehicles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD01,44563.37476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD02,23258.7448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD03,15110.58788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD04,14869.09451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD05,13506.65162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD06,9653.944389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD07,8246.492522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD08,15157.34177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD09,41461.12326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD10,19213.87431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD11,16585.10361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD12,10641.8036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD13,17970.86296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Non-coal commodities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5TALFL,,,,,,,,,,,,,,11654.4,12408.716,13163.032,13917.348,14671.664,15425.98,16050.264,16674.548,17298.832,17923.116,18547.4,19151.686,19755.972,20360.258,20964.544,21568.83,22383.334,23197.838,24012.342,24826.846,25641.35,26540.398,27439.446,28338.494,29237.542,30136.59,28630.56586,27124.54172,25618.51758,24112.49343,22606.46929,22302.98122,21999.49315,21696.00508,21392.51701,21089.02894,20785.54087,20482.0528,20178.56473,19875.07666
5TALGA,,,,,,,,,,,,,,23162.75,23512.622,23862.494,24212.366,24562.238,24912.11,25317.432,25722.754,26128.076,26533.398,26938.72,27376.994,27815.268,28253.542,28691.816,29130.09,29732.36,30334.63,30936.9,31539.17,32141.44,32801.098,33460.756,34120.414,34780.072,35439.73,35375.77267,35311.81533,35247.858,35183.90066,35119.94333,35417.79366,35715.644,36013.49433,36311.34466,36609.19499,36907.04533,37204.89566,37502.74599,37800.59633
