from,to,
NTNV,EG11,
NTWY,EG12,
NTCO,EG12,
NTAZ,EG12,
NTNM,EG12,
NTCA,EG13,
% NGCC w/ CCS,,
NTMI,E601,
NTOH,E601,
NTKY,E601,
NTIN,E601,
NTWY,E601,
NTVA,E601,
NTTX,E602,
NTPA,E603,
NTMD,E603,
NTDE,E603,
NTMO,E604,
NTIL,E604,
NTWI,E604,
NTWI,E605,
NTMN,E605,
NTND,E605,
NTSD,E605,
NTIA,E605,
NTNE,E605,
NTNY,E606,
NTME,E607,
NTNH,E607,
NTVT,E607,
NTMA,E607,
NTCT,E607,
NTRI,E607,
NTFL,E608,
NTVA,E609,
NTTN,E609,
NTNC,E609,
NTSC,E609,
NTGA,E609,
NTAL,E609,
NTMS,E609,
NTMS,E610,
NTLA,E610,
NTAR,E610,
NTOK,E610,
NTKS,E610,
NTMO,E610,
NTWA,E611,
NTOR,E611,
NTID,E611,
NTMT,E611,
NTWY,E611,
NTUT,E611,
NTNV,E611,
NTWY,E612,
NTCO,E612,
NTAZ,E612,
NTNM,E612,
NTCA,E613,
NTMI,ET01,
NTOH,ET01,
NTKY,ET01,
NTIN,ET01,
NTWY,ET01,
NTVA,ET01,
NTTX,ET02,
NTPA,ET03,
NTMD,ET03,
NTDE,ET03,
NTMO,ET04,
NTIL,ET04,
NTWI,ET04,
NTWI,ET05,
NTMN,ET05,
NTND,ET05,
NTSD,ET05,
NTIA,ET05,
NTNE,ET05,
NTNY,ET06,
NTME,ET07,
NTNH,ET07,
NTVT,ET07,
NTMA,ET07,
NTCT,ET07,
NTRI,ET07,
NTFL,ET08,
NTVA,ET09,
NTTN,ET09,
NTNC,ET09,
NTSC,ET09,
NTGA,ET09,
NTAL,ET09,
NTMS,ET09,
NTMS,ET10,
NTLA,ET10,
NTAR,ET10,
NTOK,ET10,
NTKS,ET10,
NTMO,ET10,
NTWA,ET11,
NTOR,ET11,
NTID,ET11,
NTMT,ET11,
NTWY,ET11,
NTUT,ET11,
NTNV,ET11,
NTWY,ET12,
NTCO,ET12,
NTAZ,ET12,
NTNM,ET12,
NTCA,ET13,
% VEHICLES,,
% Gasoline vehicles,,
% GD01,Gg01,
% GD02,Gg02,
% GD03,Gg03,
% GD04,Gg04,
% GD05,Gg05,
% GD06,Gg06,
% GD07,Gg07,
% GD08,Gg08,
% GD09,Gg09,
% GD10,Gg10,
% GD11,Gg11,
% GD12,Gg12,
% GD13,Gg13,
% Gg01,VD01,
% Gg02,VD02,
% Gg03,VD03,
% Gg04,VD04,
% Gg05,VD05,
% Gg06,VD06,
% Gg07,VD07,
% Gg08,VD08,
% Gg09,VD09,
% Gg10,VD10,
% Gg11,VD11,
% Gg12,VD12,
% Gg13,VD13,
% Hybrids,,
% GD01,Gh01,
% GD02,Gh02,
% GD03,Gh03,
% GD04,Gh04,
% GD05,Gh05,
% GD06,Gh06,
% GD07,Gh07,
% GD08,Gh08,
% GD09,Gh09,
% GD10,Gh10,
% GD11,Gh11,
% GD12,Gh12,
% GD13,Gh13,
% Gh01,VD01,
% Gh02,VD02,
% Gh03,VD03,
% Gh04,VD04,
% Gh05,VD05,
% Gh06,VD06,
% Gh07,VD07,
% Gh08,VD08,
% Gh09,VD09,
% Gh10,VD10,
% Gh11,VD11,
% Gh12,VD12,
% Gh13,VD13,
% Gasoline production for vehicles,,
XG01,GD01,
XG02,GD02,
XG03,GD03,
XG04,GD04,
XG05,GD05,
XG06,GD06,
XG07,GD07,
XG08,GD08,
XG09,GD09,
XG10,GD10,
XG11,GD11,
XG12,GD12,
XG13,GD13,
% Diesel production for commodities,,
XD01,DD01,
XD02,DD02,
XD03,DD03,
XD04,DD04,
XD05,DD05,
XD06,DD06,
XD07,DD07,
XD08,DD08,
XD09,DD09,
XD10,DD10,
XD11,DD11,
XD12,DD12,
XD13,DD13,
% Jet Oil production for planes,,
XJ01,JD01,
XJ02,JD02,
XJ03,JD03,
XJ04,JD04,
XJ05,JD05,
XJ06,JD06,
XJ07,JD07,
XJ08,JD08,
XJ09,JD09,
XJ10,JD10,
XJ11,JD11,
XJ12,JD12,
XJ13,JD13,
% Biomass feedstock production to transportation node,,
CPAL,7TAL,
CPAZ,7TAZ,
CPAR,7TAR,
CPCA,7TCA,
CPCO,7TCO,
CPCT,7TCT,
CPDE,7TDE,
CPFL,7TFL,
CPGA,7TGA,
CPID,7TID,
CPIL,7TIL,
CPIN,7TIN,
CPIA,7TIA,
CPKS,7TKS,
CPKY,7TKY,
CPLA,7TLA,
CPME,7TME,
CPMD,7TMD,
CPMA,7TMA,
CPMI,7TMI,
CPMN,7TMN,
CPMS,7TMS,
CPMO,7TMO,
CPMT,7TMT,
CPNE,7TNE,
CPNV,7TNV,
CPNH,7TNH,
CPNJ,7TNJ,
CPNM,7TNM,
CPNY,7TNY,
CPNC,7TNC,
CPND,7TND,
CPOH,7TOH,
CPOK,7TOK,
CPOR,7TOR,
CPPA,7TPA,
CPRI,7TRI,
CPSC,7TSC,
CPSD,7TSD,
CPTN,7TTN,
CPTX,7TTX,
CPUT,7TUT,
CPVT,7TVT,
CPVA,7TVA,
CPWA,7TWA,
CPWV,7TWV,
CPWI,7TWI,
CPWY,7TWY,
CPAL,8TAL,
CPAZ,8TAZ,
CPAR,8TAR,
CPCA,8TCA,
CPCO,8TCO,
CPCT,8TCT,
CPDE,8TDE,
CPFL,8TFL,
CPGA,8TGA,
CPID,8TID,
CPIL,8TIL,
CPIN,8TIN,
CPIA,8TIA,
CPKS,8TKS,
CPKY,8TKY,
CPLA,8TLA,
CPME,8TME,
CPMD,8TMD,
CPMA,8TMA,
CPMI,8TMI,
CPMN,8TMN,
CPMS,8TMS,
CPMO,8TMO,
CPMT,8TMT,
CPNE,8TNE,
CPNV,8TNV,
CPNH,8TNH,
CPNJ,8TNJ,
CPNM,8TNM,
CPNY,8TNY,
CPNC,8TNC,
CPND,8TND,
CPOH,8TOH,
CPOK,8TOK,
CPOR,8TOR,
CPPA,8TPA,
CPRI,8TRI,
CPSC,8TSC,
CPSD,8TSD,
CPTN,8TTN,
CPTX,8TTX,
CPUT,8TUT,
CPVT,8TVT,
CPVA,8TVA,
CPWA,8TWA,
CPWV,8TWV,
CPWI,8TWI,
CPWY,8TWY,
CPAL,9TAL,
CPAZ,9TAZ,
CPAR,9TAR,
CPCA,9TCA,
CPCO,9TCO,
CPCT,9TCT,
CPDE,9TDE,
CPFL,9TFL,
CPGA,9TGA,
CPID,9TID,
CPIL,9TIL,
CPIN,9TIN,
CPIA,9TIA,
CPKS,9TKS,
CPKY,9TKY,
CPLA,9TLA,
CPME,9TME,
CPMD,9TMD,
CPMA,9TMA,
CPMI,9TMI,
CPMN,9TMN,
CPMS,9TMS,
CPMO,9TMO,
CPMT,9TMT,
CPNE,9TNE,
CPNV,9TNV,
CPNH,9TNH,
CPNJ,9TNJ,
CPNM,9TNM,
CPNY,9TNY,
CPNC,9TNC,
CPND,9TND,
CPOH,9TOH,
CPOK,9TOK,
CPOR,9TOR,
CPPA,9TPA,
CPRI,9TRI,
CPSC,9TSC,
CPSD,9TSD,
CPTN,9TTN,
CPTX,9TTX,
CPUT,9TUT,
CPVT,9TVT,
CPVA,9TVA,
CPWA,9TWA,
CPWV,9TWV,
CPWI,9TWI,
CPWY,9TWY,
% Biomass combustion,,
EM01,EL01,
EM02,EL02,
EM03,EL03,
EM04,EL04,
EM05,EL05,
EM06,EL06,
EM07,EL07,
EM08,EL08,
EM09,EL09,
EM10,EL10,
EM11,EL11,
EM12,EL12,
EM13,EL13,
% Biomass gassification,,
ES01,EL01,
ES02,EL02,
ES03,EL03,
ES04,EL04,
ES05,EL05,
ES06,EL06,
ES07,EL07,
ES08,EL08,
ES09,EL09,
ES10,EL10,
ES11,EL11,
ES12,EL12,
ES13,EL13,
% Biomass Anaerobic digestion,,
EA01,EL01,
EA02,EL02,
EA03,EL03,
EA04,EL04,
EA05,EL05,
EA06,EL06,
EA07,EL07,
EA08,EL08,
EA09,EL09,
EA10,EL10,
EA11,EL11,
EA12,EL12,
EA13,EL13,
% Biomass Refinery combustion,,
ER01,EL01,
ER02,EL02,
ER03,EL03,
ER04,EL04,
ER05,EL05,
ER06,EL06,
ER07,EL07,
ER08,EL08,
ER09,EL09,
ER10,EL10,
ER11,EL11,
ER12,EL12,
ER13,EL13,
% Bio-refinery to char,,
%BO01,ER01,
%BO02,ER02,
%BO03,ER03,
%BO04,ER04,
%BO05,ER05,
%BO06,ER06,
%BO07,ER07,
%BO08,ER08,
%BO09,ER09,
%BO10,ER10,
%BO11,ER11,
%BO12,ER12,
%BO13,ER13,
% Biomass Refinery,,
BR01,BO01,% gasoline
BR02,BO02,
BR03,BO03,
BR04,BO04,
BR05,BO05,
BR06,BO06,
BR07,BO07,
BR08,BO08,
BR09,BO09,
BR10,BO10,
BR11,BO11,
BR12,BO12,
BR13,BO13,
% Drop-in bio-fuel production for vehicles,,
BO01,GD01,
BO02,GD02,
BO03,GD03,
BO04,GD04,
BO05,GD05,
BO06,GD06,
BO07,GD07,
BO08,GD08,
BO09,GD09,
BO10,GD10,
BO11,GD11,
BO12,GD12,
BO13,GD13,
BO01,DD01,
BO02,DD02,
BO03,DD03,
BO04,DD04,
BO05,DD05,
BO06,DD06,
BO07,DD07,
BO08,DD08,
BO09,DD09,
BO10,DD10,
BO11,DD11,
BO12,DD12,
BO13,DD13,
% Biomass state resources to electric regions- Co-firing,,
7TMI,EC01,
7TOH,EC01,
7TKY,EC01,
7TIN,EC01,
7TWY,EC01,
7TWV,EC01,
7TVA,EC01,
7TTX,EC02,
7TNJ,EC03,
7TPA,EC03,
7TMD,EC03,
7TDE,EC03,
7TMO,EC04,
7TIL,EC04,
7TWI,EC04,
7TWI,EC05,
7TMN,EC05,
7TND,EC05,
7TSD,EC05,
7TIA,EC05,
7TNE,EC05,
7TNY,EC06,
7TME,EC07,
7TNH,EC07,
7TVT,EC07,
7TMA,EC07,
7TCT,EC07,
7TRI,EC07,
7TFL,EC08,
7TVA,EC09,
7TTN,EC09,
7TNC,EC09,
7TSC,EC09,
7TGA,EC09,
7TAL,EC09,
7TMS,EC09,
7TMS,EC10,
7TLA,EC10,
7TAR,EC10,
7TOK,EC10,
7TKS,EC10,
7TMO,EC10,
7TWA,EC11,
7TOR,EC11,
7TID,EC11,
7TMT,EC11,
7TWY,EC11,
7TUT,EC11,
7TNV,EC11,
7TWY,EC12,
7TCO,EC12,
7TAZ,EC12,
7TNM,EC12,
7TCA,EC13,
8TMI,EC01,
8TOH,EC01,
8TKY,EC01,
8TIN,EC01,
8TWY,EC01,
8TWV,EC01,
8TVA,EC01,
8TTX,EC02,
8TNJ,EC03,
8TPA,EC03,
8TMD,EC03,
8TDE,EC03,
8TMO,EC04,
8TIL,EC04,
8TWI,EC04,
8TWI,EC05,
8TMN,EC05,
8TND,EC05,
8TSD,EC05,
8TIA,EC05,
8TNE,EC05,
8TNY,EC06,
8TME,EC07,
8TNH,EC07,
8TVT,EC07,
8TMA,EC07,
8TCT,EC07,
8TRI,EC07,
8TFL,EC08,
8TVA,EC09,
8TTN,EC09,
8TNC,EC09,
8TSC,EC09,
8TGA,EC09,
8TAL,EC09,
8TMS,EC09,
8TMS,EC10,
8TLA,EC10,
8TAR,EC10,
8TOK,EC10,
8TKS,EC10,
8TMO,EC10,
8TWA,EC11,
8TOR,EC11,
8TID,EC11,
8TMT,EC11,
8TWY,EC11,
8TUT,EC11,
8TNV,EC11,
8TWY,EC12,
8TCO,EC12,
8TAZ,EC12,
8TNM,EC12,
8TCA,EC13,
9TMI,EC01,
9TOH,EC01,
9TKY,EC01,
9TIN,EC01,
9TWV,EC01,
9TWY,EC01,
9TVA,EC01,
9TTX,EC02,
9TNJ,EC03,
9TPA,EC03,
9TMD,EC03,
9TDE,EC03,
9TMO,EC04,
9TIL,EC04,
9TWI,EC04,
9TWI,EC05,
9TMN,EC05,
9TND,EC05,
9TSD,EC05,
9TIA,EC05,
9TNE,EC05,
9TNY,EC06,
9TME,EC07,
9TNH,EC07,
9TVT,EC07,
9TMA,EC07,
9TCT,EC07,
9TRI,EC07,
9TFL,EC08,
9TVA,EC09,
9TTN,EC09,
9TNC,EC09,
9TSC,EC09,
9TGA,EC09,
9TAL,EC09,
9TMS,EC09,
9TMS,EC10,
9TLA,EC10,
9TAR,EC10,
9TOK,EC10,
9TKS,EC10,
9TMO,EC10,
9TWA,EC11,
9TOR,EC11,
9TID,EC11,
9TMT,EC11,
9TWY,EC11,
9TUT,EC11,
9TNV,EC11,
9TWY,EC12,
9TCO,EC12,
9TAZ,EC12,
9TNM,EC12,
9TCA,EC13,
% Biomass state resources to electric regions- Gassification,,
7TMI,ES01,
7TOH,ES01,
7TKY,ES01,
7TIN,ES01,
7TWV,ES01,
7TWY,ES01,
7TVA,ES01,
7TTX,ES02,
7TNJ,ES03,
7TPA,ES03,
7TMD,ES03,
7TDE,ES03,
7TMO,ES04,
7TIL,ES04,
7TWI,ES04,
7TWI,ES05,
7TMN,ES05,
7TND,ES05,
7TSD,ES05,
7TIA,ES05,
7TNE,ES05,
7TNY,ES06,
7TME,ES07,
7TNH,ES07,
7TVT,ES07,
7TMA,ES07,
7TCT,ES07,
7TRI,ES07,
7TFL,ES08,
7TVA,ES09,
7TTN,ES09,
7TNC,ES09,
7TSC,ES09,
7TGA,ES09,
7TAL,ES09,
7TMS,ES09,
7TMS,ES10,
7TLA,ES10,
7TAR,ES10,
7TOK,ES10,
7TKS,ES10,
7TMO,ES10,
7TWA,ES11,
7TOR,ES11,
7TID,ES11,
7TMT,ES11,
7TWY,ES11,
7TUT,ES11,
7TNV,ES11,
7TWY,ES12,
7TCO,ES12,
7TAZ,ES12,
7TNM,ES12,
7TCA,ES13,
8TMI,ES01,
8TOH,ES01,
8TKY,ES01,
8TIN,ES01,
8TWV,ES01,
8TWY,ES01,
8TVA,ES01,
8TTX,ES02,
8TNJ,ES03,
8TPA,ES03,
8TMD,ES03,
8TDE,ES03,
8TMO,ES04,
8TIL,ES04,
8TWI,ES04,
8TWI,ES05,
8TMN,ES05,
8TND,ES05,
8TSD,ES05,
8TIA,ES05,
8TNE,ES05,
8TNY,ES06,
8TME,ES07,
8TNH,ES07,
8TVT,ES07,
8TMA,ES07,
8TCT,ES07,
8TRI,ES07,
8TFL,ES08,
8TVA,ES09,
8TTN,ES09,
8TNC,ES09,
8TSC,ES09,
8TGA,ES09,
8TAL,ES09,
8TMS,ES09,
8TMS,ES10,
8TLA,ES10,
8TAR,ES10,
8TOK,ES10,
8TKS,ES10,
8TMO,ES10,
8TWA,ES11,
8TOR,ES11,
8TID,ES11,
8TMT,ES11,
8TWY,ES11,
8TUT,ES11,
8TNV,ES11,
8TWY,ES12,
8TCO,ES12,
8TAZ,ES12,
8TNM,ES12,
8TCA,ES13,
9TMI,ES01,
9TOH,ES01,
9TKY,ES01,
9TIN,ES01,
9TWV,ES01,
9TWY,ES01,
9TVA,ES01,
9TTX,ES02,
9TNJ,ES03,
9TPA,ES03,
9TMD,ES03,
9TDE,ES03,
9TMO,ES04,
9TIL,ES04,
9TWI,ES04,
9TWI,ES05,
9TMN,ES05,
9TND,ES05,
9TSD,ES05,
9TIA,ES05,
9TNE,ES05,
9TNY,ES06,
9TME,ES07,
9TNH,ES07,
9TVT,ES07,
9TMA,ES07,
9TCT,ES07,
9TRI,ES07,
9TFL,ES08,
9TVA,ES09,
9TTN,ES09,
9TNC,ES09,
9TSC,ES09,
9TGA,ES09,
9TAL,ES09,
9TMS,ES09,
9TMS,ES10,
9TLA,ES10,
9TAR,ES10,
9TOK,ES10,
9TKS,ES10,
9TMO,ES10,
9TWA,ES11,
9TOR,ES11,
9TID,ES11,
9TMT,ES11,
9TWY,ES11,
9TUT,ES11,
9TNV,ES11,
9TWY,ES12,
9TCO,ES12,
9TAZ,ES12,
9TNM,ES12,
9TCA,ES13,
% Biomass state resources to electric regions- Anaerobic digestion,,
7TMI,EA01,
7TOH,EA01,
7TKY,EA01,
7TIN,EA01,
7TWV,EA01,
7TWY,EA01,
7TVA,EA01,
7TTX,EA02,
7TNJ,EA03,
7TPA,EA03,
7TMD,EA03,
7TDE,EA03,
7TMO,EA04,
7TIL,EA04,
7TWI,EA04,
7TWI,EA05,
7TMN,EA05,
7TND,EA05,
7TSD,EA05,
7TIA,EA05,
7TNE,EA05,
7TNY,EA06,
7TME,EA07,
7TNH,EA07,
7TVT,EA07,
7TMA,EA07,
7TCT,EA07,
7TRI,EA07,
7TFL,EA08,
7TVA,EA09,
7TTN,EA09,
7TNC,EA09,
7TSC,EA09,
7TGA,EA09,
7TAL,EA09,
7TMS,EA09,
7TMS,EA10,
7TLA,EA10,
7TAR,EA10,
7TOK,EA10,
7TKS,EA10,
7TMO,EA10,
7TWA,EA11,
7TOR,EA11,
7TID,EA11,
7TMT,EA11,
7TWY,EA11,
7TUT,EA11,
7TNV,EA11,
7TWY,EA12,
7TCO,EA12,
7TAZ,EA12,
7TNM,EA12,
7TCA,EA13,
8TMI,EA01,
8TOH,EA01,
8TKY,EA01,
8TIN,EA01,
8TWV,EA01,
8TWY,EA01,
8TVA,EA01,
8TTX,EA02,
8TNJ,EA03,
8TPA,EA03,
8TMD,EA03,
8TDE,EA03,
8TMO,EA04,
8TIL,EA04,
8TWI,EA04,
8TWI,EA05,
8TMN,EA05,
8TND,EA05,
8TSD,EA05,
8TIA,EA05,
8TNE,EA05,
8TNY,EA06,
8TME,EA07,
8TNH,EA07,
8TVT,EA07,
8TMA,EA07,
8TCT,EA07,
8TRI,EA07,
8TFL,EA08,
8TVA,EA09,
8TTN,EA09,
8TNC,EA09,
8TSC,EA09,
8TGA,EA09,
8TAL,EA09,
8TMS,EA09,
8TMS,EA10,
8TLA,EA10,
8TAR,EA10,
8TOK,EA10,
8TKS,EA10,
8TMO,EA10,
8TWA,EA11,
8TOR,EA11,
8TID,EA11,
8TMT,EA11,
8TWY,EA11,
8TUT,EA11,
8TNV,EA11,
8TWY,EA12,
8TCO,EA12,
8TAZ,EA12,
8TNM,EA12,
8TCA,EA13,
9TMI,EA01,
9TOH,EA01,
9TKY,EA01,
9TIN,EA01,
9TWV,EA01,
9TWY,EA01,
9TVA,EA01,
9TTX,EA02,
9TNJ,EA03,
9TPA,EA03,
9TMD,EA03,
9TDE,EA03,
9TMO,EA04,
9TIL,EA04,
9TWI,EA04,
9TWI,EA05,
9TMN,EA05,
9TND,EA05,
9TSD,EA05,
9TIA,EA05,
9TNE,EA05,
9TNY,EA06,
9TME,EA07,
9TNH,EA07,
9TVT,EA07,
9TMA,EA07,
9TCT,EA07,
9TRI,EA07,
9TFL,EA08,
9TVA,EA09,
9TTN,EA09,
9TNC,EA09,
9TSC,EA09,
9TGA,EA09,
9TAL,EA09,
9TMS,EA09,
9TMS,EA10,
9TLA,EA10,
9TAR,EA10,
9TOK,EA10,
9TKS,EA10,
9TMO,EA10,
9TWA,EA11,
9TOR,EA11,
9TID,EA11,
9TMT,EA11,
9TWY,EA11,
9TUT,EA11,
9TNV,EA11,
9TWY,EA12,
9TCO,EA12,
9TAZ,EA12,
9TNM,EA12,
9TCA,EA13,
% Biomass state resources to electric regions- Combustion,,
7TMI,EM01,
7TOH,EM01,
7TKY,EM01,
7TIN,EM01,
7TWV,EM01,
7TWY,EM01,
7TVA,EM01,
7TTX,EM02,
7TNJ,EM03,
7TPA,EM03,
7TMD,EM03,
7TDE,EM03,
7TMO,EM04,
7TIL,EM04,
7TWI,EM04,
7TWI,EM05,
7TMN,EM05,
7TND,EM05,
7TSD,EM05,
7TIA,EM05,
7TNE,EM05,
7TNY,EM06,
7TME,EM07,
7TNH,EM07,
7TVT,EM07,
7TMA,EM07,
7TCT,EM07,
7TRI,EM07,
7TFL,EM08,
7TVA,EM09,
7TTN,EM09,
7TNC,EM09,
7TSC,EM09,
7TGA,EM09,
7TAL,EM09,
7TMS,EM09,
7TMS,EM10,
7TLA,EM10,
7TAR,EM10,
7TOK,EM10,
7TKS,EM10,
7TMO,EM10,
7TWA,EM11,
7TOR,EM11,
7TID,EM11,
7TMT,EM11,
7TWY,EM11,
7TUT,EM11,
7TNV,EM11,
7TWY,EM12,
7TCO,EM12,
7TAZ,EM12,
7TNM,EM12,
7TCA,EM13,
8TMI,EM01,
8TOH,EM01,
8TKY,EM01,
8TIN,EM01,
8TWV,EM01,
8TWY,EM01,
8TVA,EM01,
8TTX,EM02,
8TNJ,EM03,
8TPA,EM03,
8TMD,EM03,
8TDE,EM03,
8TMO,EM04,
8TIL,EM04,
8TWI,EM04,
8TWI,EM05,
8TMN,EM05,
8TND,EM05,
8TSD,EM05,
8TIA,EM05,
8TNE,EM05,
8TNY,EM06,
8TME,EM07,
8TNH,EM07,
8TVT,EM07,
8TMA,EM07,
8TCT,EM07,
8TRI,EM07,
8TFL,EM08,
8TVA,EM09,
8TTN,EM09,
8TNC,EM09,
8TSC,EM09,
8TGA,EM09,
8TAL,EM09,
8TMS,EM09,
8TMS,EM10,
8TLA,EM10,
8TAR,EM10,
8TOK,EM10,
8TKS,EM10,
8TMO,EM10,
8TWA,EM11,
8TOR,EM11,
8TID,EM11,
8TMT,EM11,
8TWY,EM11,
8TUT,EM11,
8TNV,EM11,
8TWY,EM12,
8TCO,EM12,
8TAZ,EM12,
8TNM,EM12,
8TCA,EM13,
9TMI,EM01,
9TOH,EM01,
9TKY,EM01,
9TIN,EM01,
9TWV,EM01,
9TWY,EM01,
9TVA,EM01,
9TTX,EM02,
9TNJ,EM03,
9TPA,EM03,
9TMD,EM03,
9TDE,EM03,
9TMO,EM04,
9TIL,EM04,
9TWI,EM04,
9TWI,EM05,
9TMN,EM05,
9TND,EM05,
9TSD,EM05,
9TIA,EM05,
9TNE,EM05,
9TNY,EM06,
9TME,EM07,
9TNH,EM07,
9TVT,EM07,
9TMA,EM07,
9TCT,EM07,
9TRI,EM07,
9TFL,EM08,
9TVA,EM09,
9TTN,EM09,
9TNC,EM09,
9TSC,EM09,
9TGA,EM09,
9TAL,EM09,
9TMS,EM09,
9TMS,EM10,
9TLA,EM10,
9TAR,EM10,
9TOK,EM10,
9TKS,EM10,
9TMO,EM10,
9TWA,EM11,
9TOR,EM11,
9TID,EM11,
9TMT,EM11,
9TWY,EM11,
9TUT,EM11,
9TNV,EM11,
9TWY,EM12,
9TCO,EM12,
9TAZ,EM12,
9TNM,EM12,
9TCA,EM13,
% Biomass state resources to electric regions- Bio-refinery,,
7TMI,BR01,
7TOH,BR01,
7TKY,BR01,
7TIN,BR01,
7TWV,BR01,
7TWY,BR01,
7TVA,BR01,
7TTX,BR02,
7TNJ,BR03,
7TPA,BR03,
7TMD,BR03,
7TDE,BR03,
7TMO,BR04,
7TIL,BR04,
7TWI,BR04,
7TWI,BR05,
7TMN,BR05,
7TND,BR05,
7TSD,BR05,
7TIA,BR05,
7TNE,BR05,
7TNY,BR06,
7TME,BR07,
7TNH,BR07,
7TVT,BR07,
7TMA,BR07,
7TCT,BR07,
7TRI,BR07,
7TFL,BR08,
7TVA,BR09,
7TTN,BR09,
7TNC,BR09,
7TSC,BR09,
7TGA,BR09,
7TAL,BR09,
7TMS,BR09,
7TMS,BR10,
7TLA,BR10,
7TAR,BR10,
7TOK,BR10,
7TKS,BR10,
7TMO,BR10,
7TWA,BR11,
7TOR,BR11,
7TID,BR11,
7TMT,BR11,
7TWY,BR11,
7TUT,BR11,
7TNV,BR11,
7TWY,BR12,
7TCO,BR12,
7TAZ,BR12,
7TNM,BR12,
7TCA,BR13,
8TMI,BR01,
8TOH,BR01,
8TKY,BR01,
8TIN,BR01,
8TWV,BR01,
8TWY,BR01,
8TVA,BR01,
8TTX,BR02,
8TNJ,BR03,
8TPA,BR03,
8TMD,BR03,
8TDE,BR03,
8TMO,BR04,
8TIL,BR04,
8TWI,BR04,
8TWI,BR05,
8TMN,BR05,
8TND,BR05,
8TSD,BR05,
8TIA,BR05,
8TNE,BR05,
8TNY,BR06,
8TME,BR07,
8TNH,BR07,
8TVT,BR07,
8TMA,BR07,
8TCT,BR07,
8TRI,BR07,
8TFL,BR08,
8TVA,BR09,
8TTN,BR09,
8TNC,BR09,
8TSC,BR09,
8TGA,BR09,
8TAL,BR09,
8TMS,BR09,
8TMS,BR10,
8TLA,BR10,
8TAR,BR10,
8TOK,BR10,
8TKS,BR10,
8TMO,BR10,
8TWA,BR11,
8TOR,BR11,
8TID,BR11,
8TMT,BR11,
8TWY,BR11,
8TUT,BR11,
8TNV,BR11,
8TWY,BR12,
8TCO,BR12,
8TAZ,BR12,
8TNM,BR12,
8TCA,BR13,
9TMI,BR01,
9TOH,BR01,
9TKY,BR01,
9TIN,BR01,
9TWV,BR01,
9TWY,BR01,
9TVA,BR01,
9TTX,BR02,
9TNJ,BR03,
9TPA,BR03,
9TMD,BR03,
9TDE,BR03,
9TMO,BR04,
9TIL,BR04,
9TWI,BR04,
9TWI,BR05,
9TMN,BR05,
9TND,BR05,
9TSD,BR05,
9TIA,BR05,
9TNE,BR05,
9TNY,BR06,
9TME,BR07,
9TNH,BR07,
9TVT,BR07,
9TMA,BR07,
9TCT,BR07,
9TRI,BR07,
9TFL,BR08,
9TVA,BR09,
9TTN,BR09,
9TNC,BR09,
9TSC,BR09,
9TGA,BR09,
9TAL,BR09,
9TMS,BR09,
9TMS,BR10,
9TLA,BR10,
9TAR,BR10,
9TOK,BR10,
9TKS,BR10,
9TMO,BR10,
9TWA,BR11,
9TOR,BR11,
9TID,BR11,
9TMT,BR11,
9TWY,BR11,
9TUT,BR11,
9TNV,BR11,
9TWY,BR12,
9TCO,BR12,
9TAZ,BR12,
9TNM,BR12,
9TCA,BR13,
