from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
NTOR,NTWA,179.7916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPA,NTWV,218.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTQU,NTVT,2.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTSD,NTWY,3.541666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTTN,NTVA,2.916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTUT,NTWY,163.0416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTVA,NTWV,89.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFG,NTAL,142.7083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFG,NTLA,1028.708333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFG,NTMS,55.08333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFG,NTTX,132.2083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFP,NTCA,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAZ,NDMX,10.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCA,NDMX,34.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTTX,NDMX,106.2916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas production (MMcf / h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAL,NTAL,35.61378113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAR,NTAR,80.52706273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAZ,NTAZ,0.065542133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCA,NTCA,37.74309365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCO,NTCO,209.342471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPKS,NTKS,48.99466611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPLA,NTLA,206.0558655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMI,NTMI,20.13601796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMS,NTMS,17.04407015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMT,NTMT,16.13459124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPND,NTND,12.77655745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPNE,NTNE,0.466835386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPNM,NTNM,196.0217174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPNY,NTNY,7.266379489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOH,NTOH,10.73282653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOK,NTOK,270.4821009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOR,NTOR,0.120224783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPSD,NTSD,1.60936153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPTX,NTTX,1182.593993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPUT,NTUT,69.34643012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPVA,NTVA,18.01618962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPWV,NTWV,36.1610672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPWY,NTWY,345.8730859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFG,NTFG,354.842664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFP,NTFP,6.144178213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAR,NTAR,132.65833,% Updated production data from here - 2012 EIA data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFL,NTFL,3.08879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPIL,NTIL,0.351356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPIN,NTIN,1.457341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPKY,NTKY,17.54663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPLA,NTLA,342.06445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMD,NTMD,0.007275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPND,NTND,20.718054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
